,ticker,name,website,headquarter,employees,industry,type,source
4095,TMI,Taylor Maritime Investments Ltd (TMI),www.taylormaritimeinvestments.com,"Sarnia House Le Truchot Saint Peter Port, GY1 1GR Guernsey",-,Capital Markets,ORD,investing
4096,ATM,AfriTin Mining Ltd (ATM),www.afritinmining.com,"Oak House PO Box 282 Hirzel Street Saint Peter Port, GY1 3RH Guernsey",108,Metals & Mining,ORD,investing
4097,ORCP,Oracle Coalfields Plc (ORCP),www.oraclepower.co.uk,"Tennyson House Cambridge Business Park Cambridge, CB4 0WZ United Kingdom",8,"Oil, Gas & Consumable Fuels",ORD,investing
4098,TEEC,Triple Point Energy Efficiency Infra (TEEC),www.tpenergyefficiency.com,"1 King William Street London, EC4N 7AF United Kingdom",-,Commercial Services & Supplies,ORD,investing
4099,SYS,SysGroup PLC (SYS),www.sysgroup.com,"Walker House Exchange Flags Liverpool, L2 3YL United Kingdom",116,IT Services,ORD,investing
4100,DUKE,Duke Royalty Ltd (DUKE),www.dukeroyalty.com,"Fourth Floor, West Wing Trafalgar Court, Saint Peter Port Guernsey, GY1 2JA United Kingdom",-,Metals & Mining,ORD,investing
4101,MCLSM,McColls Retail Group plc (MCLSM),www.mccollsplc.co.uk,"One London Road Ground Floor West Brentwood, CM14 4QW United Kingdom",6403,Food & Staples Retailing,ORD,investing
4102,AUGM,Augmentum Fintech PLC (AUGM),www.augmentum.vc,"5-23 Old Street London, EC1V 9HL United Kingdom",-,Capital Markets,ORD,investing
4103,ASCIA,Aberdeen Smaller Companies High Income Trust PLC (ASCIA),www.aberdeensmallercompanies.co.uk/itsmallercompanies,"10 Queens Terrace Aberdeen, AB10 1YG United Kingdom",-,Capital Markets,Closed-End,investing
4104,FSTA,Fuller Smith & Turner (FSTA),www.fullers.co.uk,"Pier House 86-93 Strand-on-the-Green London, W4 3NN United Kingdom",3764,"Hotels, Restaurants & Leisure",ORD,investing
4105,QTX,Quartix Holdings PLC (QTX),www.quartix.com,"Sheraton House Castle Park Cambridge, CB3 0AX United Kingdom",158,Software,ORD,investing
4106,CRGT,Creightons PLC (CRGT),www.creightons.com,"1210 Lincoln Road Peterborough, PE4 6ND United Kingdom",549,Personal Products,ORD,investing
4107,TAMT,Tatton Asset Management PLC (TAMT),www.tattonassetmanagement.com,"Paradigm House Lower Meadow Road Brooke Court Wilmslow, SK9 3ND United Kingdom",86,Capital Markets,ORD,investing
4108,PIRI,Pires Investments PLC (PIRI),www.piresinvestments.com,"107 Cheapside 9th Floor London, EC2V 6DN United Kingdom",3,Capital Markets,ORD,investing
4109,NAPS,Napster Group PLC (NAPS),napster.group,"The Lighthouse, 370 Gray's Inn Road London, WC1X 8BB United Kingdom",87,Software & Programming,ORD,investing
4110,AATG,Albion Technology & General VCT PLC (AATG),www.albion.capital/investor-centre/our-funds/albion-technology-general-vct-plc,"1 Benjamin Street Farringdon London, EC1M 5QL United Kingdom",-,Capital Markets,ORD,investing
4111,RSG,Resolute Mining Ltd (RSG),www.rml.com.au,"Australia Place Level 2 15-17 William Street Perth, 6000 Australia",1256,Metals & Mining,ORD,investing
4112,PGOO,Proven Growth and Income Vct PLC (PGOO),www.provenvcts.co.uk/funds/dynamicfund/2,"55 Drury Lane Covent Garden London, WC2B 5SQ United Kingdom",5,Capital Markets,ORD,investing
4113,SYS1,System1 Group PLC (SYS1),www.system1group.com,"52 Bedford Row Holborn London, WC1R 4LR United Kingdom",146,Media,ORD,investing
4114,SIXH,600 Group (SIXH),www.600group.com,"Lowfields Way Lowfield Business Park Elland, HX5 9DA United Kingdom",189,Machinery,ORD,investing
4115,BMTt,Braime Group PLC (BMTt),www.braimegroup.com,"Hunslet Road Leeds, LS10 1JZ United Kingdom",178,Trading Companies & Distributors,ORD,investing
4116,LINV,Lendinvest PLC (LINV),corporate.lendinvest.com,"Two Fitzroy Place 8 Mortimer Street London, W1T 3JJ United Kingdom",181,Thrifts & Mortgage Finance,ORD,investing
4117,UAI,U and I Group PLC (UAI),www.uandiplc.com,"7A Howick Place London, SW1P 1DZ United Kingdom",-,Real Estate Management & Development,ORD,investing
4118,FEN,Frenkel Topping Group (FEN),www.frenkeltopping.co.uk,"Frenkel House 15 Carolina Way Salford Manchester, M50 2ZY United Kingdom",92,Capital Markets,ORD,investing
4119,FRG,Firering Strategic Minerals Plc (FRG),www.fireringplc.com,"Immeuble Arc-en-ciel 2eme Etage Coin Av. Chardy et Boulevard Lagunaire Plateau, Abidjan 01 boite postale numero 3121 Abidjan, Ivory Coast",-,Metals & Mining,ORD,investing
4120,CCPE,CVC Credit Partners European Opportunities Ltd ORD (CCPE),www.ccpeol.com/Default.htmx,"111 Strand London, WC2R 0AG United Kingdom",-,Capital Markets,ORD,investing
4121,NEXSN,Nexus Infrastructure PLC (NEXSN),www.nexus-infrastructure.com,"Nexus Park Avenue East Skyline 120 Great Notley Braintree, CM77 7AL United Kingdom",818,Construction & Engineering,ORD,investing
4122,MIG1,Maven Income And Growth Vct Plc (MIG1),www.mavencp.com/investors/venture-capital-trusts/maven-income-and-growth-vct-1,"Kintyre House 205 West George Street Glasgow, G2 2LW United Kingdom",-,Capital Markets,ORD,investing
4123,MAUP,Etablissements Maurel et Prom SA (MAUP),www.maureletprom.fr,"51, rue d’Anjou Paris, 75008 France",519,"Oil, Gas & Consumable Fuels",ORD,investing
4124,SSIT,Seraphim Space Investment Trust PLC (SSIT),www.seraphim.vc,"167 City Road London, EC1V 1AW United Kingdom",-,Capital Markets,ORD,investing
4125,ORPH,Open Orphan PLC (ORPH),www.openorphan.com,"10-12 Alie Street 2nd Floor London, E1 8DE United Kingdom",179,Life Sciences Tools & Services,ORD,investing
4126,TOU,Tlou Energy Ltd (TOU),tlouenergy.com,"210 Alice Street Brisbane, 4000 Australia",-,"Oil, Gas & Consumable Fuels",ORD,investing
4127,HEFT,Henderson European Focus Trust Plc (HEFT),www.henderson.com/ukpi/fund/260/henderson-european-focus-trust-plc,"201 Bishopsgate London, EC2M 3AE United Kingdom",-,Capital Markets,Closed-End,investing
4128,VEN,Ventus VCT PLC (VEN),www.ventusvct.com,"Berger House 36/38 Berkeley Square London, W1J 5AE United Kingdom",4,Capital Markets,ORD,investing
4129,LOK,Lok’N Store Group (LOK),www.loknstore.co.uk,"112 Hawley Lane Farnborough, GU14 8JE United Kingdom",171,Real Estate Management & Development,ORD,investing
4130,HOYE,Honye Financial Services Ltd (HOYE),www.honyefinance.com,"89 Nexus Way Camana Bay, KY1-9009 Cayman Islands",-,Capital Markets,ORD,investing
4131,SPHN,Sopheon PLC (SPHN),www.sopheon.com,"Dorna House One 50 Guildford Road West End, GU24 9PW United Kingdom",169,Software,ORD,investing
4132,AIREA,Alternative Income REIT PLC (AIREA),www.alternativeincomereit.com,"1 King William Street London, EC4N 7AF United Kingdom",-,Equity Real Estate Investment Trusts (REITs),REIT,investing
4133,INSG,Insig Ai PLC (INSG),catenagroup.co.uk,"30 City Road London, EC1Y 2AB United Kingdom",113,Entertainment,ORD,investing
4134,LIKE,Likewise Group PLC (LIKE),www.likewiseplc.com,"Unit 4, Radial Park Solihull Parkway Birmingham Business Park Solihull, B37 7YN United Kingdom",233,Distributors,ORD,investing
4135,ETLNGq,Etalon Group (ETLNGq),www.etalongroup.com,"2-4 Capital Centre 9th Floor Arch. Makariou III Avenue Nicosia, 1065 Cyprus",4401,Real Estate Management & Development,DRC,investing
4136,TRFT,Trifast (TRFT),www.trifast.com,"Trifast House Bellbrook Park Uckfield, TN22 1QW United Kingdom",1300,Machinery,ORD,investing
